_id,service_name,program_or_facility,neighborhood,address,latitude,longitude,organization,category,recommended_for,requirements,phone,narrative,schedule,holiday_exception
1,412 Youth Zone,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,roof-daytime,"unaccompanied youth, youth aging out of foster care, and unstably housed youth","must be 16 - 23; and after first visit, become a member for subsequent visits (at no cost)",412-902-4068,"A safe place Downtown with a leisure space, kitchen, showers, laundry, computer access, art, and more. Lockers and locks provided for belongings. Food available throughout the day as needed Mon-Sat. Staff available to help connect to programs on housing, education, training and employment; legal and health issues.",Mon - Thurs: 11am - 7pm; Fri:   11am - 5pm; Sat:  11am - 3pm,
2,Dinner & food anytime as needed - 412 Youth Zone,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,meals,"unaccompanied youth, youth aging out of foster care, unstably housed youth","must be 16 - 23; and after first visit, become a member for subsequent visits (at no cost)",412-902-4068,"Food available throughout day as needed, Dinner after 3pm.",Mon - Thurs: 11am - 7pm ; Fri:   11am - 5pm ; Sat:  11am - 3pm,
3,412 Youth Zone - Physician's Assistant/Registered Nurse/Nurse Practitioner Hours,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,health,,must be 16 - 23,412-902-4068,"A UPMC physician's assistant, registered nurse, or certified nurse practitioner will be on hand for medical checkups and physical exams.",Mon - Thu: 11am - 4pm,
4,Veterans Place,Veterans Place of Washington Blvd,Larimer,"945 Washington Blvd, PA, 15206",40.461178,-79.906674,Veterans Place,roof-daytime|finances,,DD214 or Military ID required for services,412-363-0500,"Veterans Place is not just a great place to hang out, but a way to connect to a whole range of services:  VA credentials, employment, life skills, legal assistance, drug and alcohol programs, and counseling.  Daytime shelter with breakfast and lunch served to homeless or at-risk-of-homeless veterans, food pantry.   Transportation support for medical appointments and to reach other community resources.  Morning shuttle from downtown shelters, CALL AHEAD  for van pick up 412-320-5566",Mon - Fri:  8am - 3pm,
5,"Meals, Pantry, Laundry - Veterans Place",Veterans Place of Washington Blvd,Larimer,"945 Washington Blvd, PA, 15206",40.461178,-79.906674,Veterans Place,meals|pantries-supplies,Veterans,for Vets only,412-363-0500,Great hangout space with breakfast at 8am - 9am weekdays and lunch at 11:30am - noon.  Food pantry on Fridays from 2pm - 3pm.  Food also available at other times on emergency basis.  Veterans Place can also connect you to a wide range of services (see info under Daytime Roof).,Mon - Fri:   8am - 9am breakfast; Mon - Fri:   11:30 - noon lunch; Mon only 1:30pm - 2:30pm - Food Pantry,
6,Van to Veteran's Place,Veterans Place of Washington Blvd,Larimer,"945 Washington Blvd, PA, 15206",40.461178,-79.906674,Veterans Place,activities|roof-daytime,Veterans,DD214 or Military ID,412-363-0500 X214,"Call van driver (412-320-5566) ahead for morning pick-up. Leaves at 6:30am and makes route to Shepherd's Heart, Light of Life, Pleasant Valley Shelter, East End Cooperative Ministry and Resolve (Homewood).   Van leaves Veteran's Place at 3 pm and drives to shelters.",,
7,Wellspring Drop-In Center,Wellspring Drop-in Center,Uptown,"903 Watson St, PA, 15219",40.438492,-79.991555,Pittsburgh Mercy Health System,roof-daytime,all,none,412-263-2545,"Drop-in Center that can provide lockers (for street homeless), mail drop and showers.  Also helps with connecting to resources.  Computer and phone available for use.  Open Studio art program Fridays, 10am - 4pm (walk-ins welcome).  Recovery group meets  Mon - Thurs at 11am (walk-ins also welcome).",Mon - Fri:  10am - 4pm,Closed during date: 2019/03/04; Closed during date: 2019/03/05; Closed during date: 2019/03/06; 
8,Lunch - Wellspring,Wellspring Drop-in Center,Uptown,"903 Watson St, PA, 15219",40.438492,-79.991555,Pittsburgh Mercy Health System,meals,all,none,412-263-2545,"Lunch served at the drop-in center at 12:30. Center can also provide lockers (for street homeless), mail drop and showers.  Also helps with connecting to resources.",Mon - Fri:  12:30pm,
9,Mon Dinner - Miss Nancy's,Mobile Med Van - Mon,Downtown,"244 Blvd of the Allies, PA, 15222",40.438664,-80.002276,Pittsburgh Mercy Health System,meals,all,none,,A long Pittsburgh tradition,Mon: 10pm,
10,Mobile Med Van - Mondays,Mobile Med Van - Mon,Downtown,"244 Blvd of the Allies, PA, 15222",40.438664,-80.002276,Pittsburgh Mercy Health System,health,all,none - no fees and no insurance required,412-697-3260,"The mobile medical unit is equipped to provide all of the same, major services of a primary care physician’s office, including routine physical exams, diagnostic screenings, chronic disease management (e.g., diabetes, asthma, and hypertension), well and sick adult and child visits, immunizations, school and sports physicals, Medicare and WIC exams, and more. Note: Emergency services and X-rays will not be provided.",Mon:  9am - Noon,
11,Pittsburgh Mercy Family Health Center,Pittsburgh Mercy Family Health Center,South Side,"249 S 9th St, First Floor, PA, 15203",40.430454,-79.989221,Pittsburgh Mercy Health System,health,"all ages needing primary care physician, including Veterans","Appointments encouraged.  Acute issues met immediately, no insurance required; benefits coordinator will then walk you through benefits process (you will continue to get care while awaiting coverage).",412-697-3260,"The Mercy Family Health Center is a primary care physician practice for adults, children, adolescents, and seniors.  Prenatal care (pregnancy help) and gynecology services offered.  Foot care (podiatry) and basic dental services (cleaning and exam) available as well.  Center also handles mental health and addiction issues.","Mon, Tues, Thurs, Fri:  8am - 4pm; Wed:  8am - 8pm; 2nd/4th Sat:  8am - 1pm",
12,Mobile Med Van - Thurs,Mobile Med Van - Thurs,North Side,"412 E Commons Ave, PA, 15212",40.45128,-80.002913,Pittsburgh Mercy Health System,health,all,none - no fees and no insurance required,412-697-3260,"The mobile medical unit is equipped to provide all of the same, major services of a primary care physician’s office, including routine physical exams, diagnostic screenings, chronic disease management (e.g., diabetes, asthma, and hypertension), well and sick adult and child visits, immunizations, school and sports physicals, Medicare and WIC exams, and more. Note: Emergency services and X-rays will not be provided.",Thurs:  9am - 4pm,
13,Mobile Med Van - 1st & 3rd Fridays,Mobile Med Van - Fridays,Uptown,"1402 Fifth Ave, PA, 15219",40.438625,-79.986286,Pittsburgh Mercy Health System,health,all,none - no fees or insurance required,412-697-3260,"The mobile medical unit is equipped to provide all of the same, major services of a primary care physician’s office, including routine physical exams, diagnostic screenings, chronic disease management (e.g., diabetes, asthma, and hypertension), well and sick adult and child visits, immunizations, school and sports physicals, Medicare and WIC exams, and more. Note: Emergency services and X-rays will not be provided",1st and 3rd Fridays: 9am - Noon,
